epoch,accuracy,loss,val_accuracy,val_loss
0,0.40285998582839966,1.6048368215560913,0.5702000260353088,1.1981089115142822
1,0.6091600060462952,1.0927859544754028,0.6787999868392944,0.920843243598938
2,0.6983399987220764,0.8679070472717285,0.7008000016212463,0.881703794002533
3,0.747979998588562,0.7298544645309448,0.7228999733924866,0.8370792865753174
4,0.7829999923706055,0.6331274509429932,0.7545999884605408,0.7215704321861267
5,0.8096399903297424,0.5554215312004089,0.7953000068664551,0.6336482763290405
6,0.8334199786186218,0.4925427734851837,0.8011999726295471,0.6048276424407959
7,0.8459399938583374,0.4500102400779724,0.7746000289916992,0.7022721171379089
8,0.861840009689331,0.40773195028305054,0.7903000116348267,0.6835679411888123
9,0.8728600144386292,0.3762427866458893,0.7893000245094299,0.8009432554244995
